cluster_id,h3_cell,lat,lon,violation_count,police_station,primary_violation,heavy_pct,repeat_pct,junction_pct,top_hours,spillover_index,persistence_index,zone_risk_index,zone_type,active_days,burst_days,petrol_pump_reduction,petrol_pump_new_risk,location_sample
55,8960145b147ffff,12.992857,77.553468,1055,Rajajinagar,WRONG PARKING,27.4,51.7,99.9,"[21, 22, 19]",2.51,6.27,6.45,CHRONIC,94,2,126,5.68,"12th Main Road, BSNL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-"
27,8960145b6a7ffff,12.99176,77.588603,1637,High ground,WRONG PARKING,0.5,63.2,99.5,"[22, 21, 23]",2.78,5.53,6.24,SEMI-CHRONIC,83,3,196,5.49,"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (In"
4,8961892e9abffff,12.981677,77.60785,6667,Shivajinagar,WRONG PARKING,1.2,35.3,100.0,"[5, 4, 2]",3.05,9.93,6.17,CHRONIC,149,8,800,5.43,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (I"
23,8960145b4cbffff,12.981302,77.59857,2009,Shivajinagar,WRONG PARKING,0.9,54.5,100.0,"[23, 3, 22]",2.14,7.27,6.15,SEMI-CHRONIC,109,4,241,5.41,"Infantry Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin"
60,8960145b323ffff,13.00819,77.548599,964,Rajajinagar,WRONG PARKING,9.0,40.1,100.0,"[5, 4, 22]",2.84,7.73,6.14,CHRONIC,116,6,115,5.4,"Da Ra Bendre Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
5,8960145b5cbffff,12.973735,77.578668,5992,Upparpet,NO PARKING,5.2,26.5,100.0,"[3, 4, 5]",3.42,10.0,6.12,CHRONIC,152,6,719,5.39,"Maharaja Times, 8th Cross Road, Balepet, Chikkapete, Chickpete, Bengaluru Centra"
9,8960145a26bffff,12.97434,77.545193,3653,Vijayanagara,WRONG PARKING,0.1,49.7,100.0,"[3, 22, 23]",1.87,7.6,6.04,SEMI-CHRONIC,114,6,438,5.32,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
2,8960145b427ffff,12.97751,77.578937,7369,Upparpet,NO PARKING,7.7,27.0,100.0,"[19, 20, 3]",2.46,10.0,6.02,CHRONIC,151,8,884,5.3,"4th Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-56"
31,8960145b58bffff,12.967065,77.574317,1451,Chamarajpet,WRONG PARKING,20.6,18.5,100.0,"[2, 21, 5]",2.97,8.73,6.0,CHRONIC,131,5,174,5.28,"AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (In"
21,8960145b55bffff,12.979359,77.576418,2213,Upparpet,WRONG PARKING,10.1,24.7,100.0,"[19, 3, 20]",2.27,9.8,5.97,CHRONIC,147,6,265,5.25,"Seshadri Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 "
35,89618925b6fffff,12.964848,77.578917,1407,City Market,WRONG PARKING,13.2,14.4,99.9,"[5, 4, 19]",3.64,9.27,5.96,CHRONIC,139,7,168,5.24,"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002"
7,8960145b3a7ffff,12.99972,77.549722,4293,Rajajinagar,WRONG PARKING,0.5,27.3,100.0,"[2, 1, 3]",3.01,9.33,5.94,CHRONIC,140,7,515,5.23,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
0,8960145b553ffff,12.976631,77.576306,12123,Upparpet,NO PARKING,4.2,22.6,100.0,"[3, 4, 5]",2.61,10.0,5.91,CHRONIC,152,6,1454,5.2,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-56000"
12,8960145b543ffff,12.97837,77.574091,2914,Upparpet,WRONG PARKING,13.6,16.8,100.0,"[3, 6, 4]",2.48,9.93,5.9,CHRONIC,149,11,349,5.19,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-5600"
63,8960145b54bffff,12.980521,77.574701,911,Upparpet,WRONG PARKING,10.9,23.2,100.0,"[21, 3, 22]",2.95,8.27,5.9,CHRONIC,124,8,109,5.19,"Subedar Chatram Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-"
97,89618925b2fffff,12.958882,77.575662,630,City Market,WRONG PARKING,25.2,13.7,100.0,"[8, 7, 21]",4.0,6.4,5.89,SEMI-CHRONIC,96,5,75,5.18,"Tippu Sultan Palace Road, Bhartiya Medical Sangha Circle, Bangalore Medical Coll"
