police_station,hour,count
City Market,0,1357
City Market,1,991
City Market,2,1526
City Market,3,1546
City Market,4,1786
City Market,5,1543
City Market,6,1109
City Market,7,514
City Market,8,254
City Market,9,120
City Market,10,5
City Market,11,3
City Market,12,7
City Market,13,3
City Market,14,3
City Market,15,42
City Market,16,265
City Market,17,470
City Market,18,753
City Market,19,2057
City Market,20,1064
City Market,21,622
City Market,22,716
City Market,23,890
HAL Old Airport,0,2340
HAL Old Airport,1,1527
HAL Old Airport,2,2254
HAL Old Airport,3,2078
HAL Old Airport,4,1729
HAL Old Airport,5,1374
HAL Old Airport,6,746
HAL Old Airport,7,266
HAL Old Airport,8,272
HAL Old Airport,9,116
HAL Old Airport,10,3
HAL Old Airport,11,24
HAL Old Airport,12,2
HAL Old Airport,14,1
HAL Old Airport,16,6
HAL Old Airport,18,6
HAL Old Airport,19,182
HAL Old Airport,20,608
HAL Old Airport,21,1673
HAL Old Airport,22,2810
HAL Old Airport,23,2802
Malleshwaram,0,2133
Malleshwaram,1,1981
Malleshwaram,2,2985
Malleshwaram,3,2497
Malleshwaram,4,2912
Malleshwaram,5,2802
Malleshwaram,6,1657
Malleshwaram,7,758
Malleshwaram,8,420
Malleshwaram,9,177
Malleshwaram,10,37
Malleshwaram,11,22
Malleshwaram,12,12
Malleshwaram,18,5
Malleshwaram,19,104
Malleshwaram,20,406
Malleshwaram,21,699
Malleshwaram,22,1106
Malleshwaram,23,1487
Shivajinagar,0,1450
Shivajinagar,1,1138
Shivajinagar,2,3059
Shivajinagar,3,3480
Shivajinagar,4,4282
Shivajinagar,5,4729
Shivajinagar,6,3224
Shivajinagar,7,1675
Shivajinagar,8,1227
Shivajinagar,9,558
Shivajinagar,10,57
Shivajinagar,11,86
Shivajinagar,12,75
Shivajinagar,13,21
Shivajinagar,18,16
Shivajinagar,19,196
Shivajinagar,20,157
Shivajinagar,21,470
Shivajinagar,22,898
Shivajinagar,23,1246
Upparpet,0,2682
Upparpet,1,2004
Upparpet,2,2943
Upparpet,3,4748
Upparpet,4,4046
Upparpet,5,3343
Upparpet,6,2264
Upparpet,7,1034
Upparpet,8,754
Upparpet,9,368
Upparpet,10,35
Upparpet,11,11
Upparpet,12,1
Upparpet,16,3
Upparpet,17,1
Upparpet,18,23
Upparpet,19,2556
Upparpet,20,1945
Upparpet,21,1741
Upparpet,22,1582
Upparpet,23,2384
